GameIndex,Player_1_name,Player_1_draws,Player_1_cells_left,Player_2_name,Player_2_draws,Player_2_cells_left,Player_3_name,Player_3_draws,Player_3_cells_left,Player_4_name,Player_4_draws,Player_4_cells_left,OpeningPlayer,Winner,PlayerCount,Score,Turns,Seed,CellsUndrawn,CellsOnTable,CellsAmountCheck
1,Rocket,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
1,Rocket,1,0,Whateva,3,1,,,,,,,Whateva,Rocket,2,2,7,1,14,13,True
1,Rocket,2,0,Whateva,4,1,,,,,,,Whateva,Rocket,2,10,9,2,12,15,True
1,Whateva,7,3,Rocket,5,0,,,,,,,Rocket,Rocket,2,24,11,3,6,19,True
1,Rocket,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,11,4,4,18,9,True
1,Rocket,1,0,Whateva,1,1,,,,,,,Whateva,Rocket,2,6,6,5,16,11,True
1,Rocket,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
1,Whateva,5,2,Rocket,6,0,,,,,,,Rocket,Rocket,2,17,13,7,7,19,True
1,Whateva,2,4,Rocket,0,0,,,,,,,Rocket,Rocket,2,21,4,8,16,8,True
1,Rocket,0,0,Whateva,1,1,,,,,,,Whateva,Rocket,2,5,5,9,17,10,True
1,Rocket,2,0,Whateva,3,2,,,,,,,Whateva,Rocket,2,18,8,10,13,13,True
2,Krecik,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
2,Krecik,2,2,Whateva,3,0,,,,,,,Whateva,Whateva,2,10,7,1,13,13,True
2,Krecik,3,7,Whateva,0,0,,,,,,,Whateva,Whateva,2,36,4,2,15,6,True
2,Whateva,7,3,Krecik,5,0,,,,,,,Krecik,Krecik,2,24,11,3,6,19,True
2,Krecik,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,11,4,4,18,9,True
2,Krecik,9,2,Whateva,7,0,,,,,,,Whateva,Whateva,2,7,15,5,2,24,True
2,Krecik,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
3,Diogenes,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
3,Diogenes,1,0,Whateva,3,1,,,,,,,Whateva,Diogenes,2,2,7,1,14,13,True
3,Diogenes,2,0,Whateva,4,1,,,,,,,Whateva,Diogenes,2,10,9,2,12,15,True
3,Whateva,7,3,Diogenes,5,0,,,,,,,Diogenes,Diogenes,2,24,11,3,6,19,True
3,Diogenes,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,2,4,4,18,9,True
3,Diogenes,1,0,Whateva,1,1,,,,,,,Whateva,Diogenes,2,6,6,5,16,11,True
3,Diogenes,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
3,Whateva,4,1,Diogenes,4,0,,,,,,,Diogenes,Diogenes,2,4,10,7,10,17,True
3,Whateva,2,4,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,21,4,8,16,8,True
3,Diogenes,0,0,Whateva,1,1,,,,,,,Whateva,Diogenes,2,7,5,9,17,10,True
3,Diogenes,2,0,Whateva,4,3,,,,,,,Whateva,Diogenes,2,23,8,10,12,13,True
3,Whateva,0,0,Diogenes,1,2,,,,,,,Diogenes,Whateva,2,19,5,11,17,9,True
3,Diogenes,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,6,4,12,18,9,True
3,Whateva,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,3,4,13,18,9,True
3,Whateva,6,3,Diogenes,5,0,,,,,,,Diogenes,Diogenes,2,13,11,14,7,18,True
4,Protokół Zgredek,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
4,Protokół Zgredek,1,0,Whateva,3,1,,,,,,,Whateva,Protokół Zgredek,2,2,7,1,14,13,True
4,Protokół Zgredek,2,0,Whateva,3,1,,,,,,,Whateva,Protokół Zgredek,2,10,9,2,13,14,True
4,Whateva,7,3,Protokół Zgredek,5,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,24,11,3,6,19,True
4,Protokół Zgredek,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,11,4,4,18,9,True
4,Protokół Zgredek,1,0,Whateva,1,1,,,,,,,Whateva,Protokół Zgredek,2,6,6,5,16,11,True
4,Protokół Zgredek,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
4,Whateva,6,2,Protokół Zgredek,5,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,11,12,7,7,19,True
4,Whateva,2,4,Protokół Zgredek,0,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,21,4,8,16,8,True
4,Protokół Zgredek,6,0,Whateva,6,1,,,,,,,Whateva,Protokół Zgredek,2,4,14,9,6,21,True
4,Protokół Zgredek,2,0,Whateva,3,1,,,,,,,Whateva,Protokół Zgredek,2,7,8,10,13,14,True
4,Whateva,5,3,Protokół Zgredek,4,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,27,10,11,9,16,True
5,Krecik,1,0,Rocket,4,3,,,,,,,Rocket,Krecik,2,21,7,0,13,12,True
5,Krecik,1,0,Rocket,3,2,,,,,,,Rocket,Krecik,2,10,7,1,14,12,True
5,Krecik,2,4,Rocket,0,0,,,,,,,Rocket,Rocket,2,15,4,2,16,8,True
5,Rocket,3,3,Krecik,2,0,,,,,,,Krecik,Krecik,2,12,7,3,13,12,True
5,Krecik,0,0,Rocket,1,1,,,,,,,Rocket,Krecik,2,3,5,4,17,10,True
5,Krecik,2,0,Rocket,2,2,,,,,,,Rocket,Krecik,2,8,7,5,14,12,True
5,Krecik,2,1,Rocket,2,0,,,,,,,Rocket,Rocket,2,2,6,6,14,13,True
5,Rocket,0,1,Krecik,0,0,,,,,,,Krecik,Krecik,2,5,4,7,18,9,True
5,Rocket,2,2,Krecik,1,0,,,,,,,Krecik,Krecik,2,12,6,8,15,11,True
5,Krecik,2,0,Rocket,3,1,,,,,,,Rocket,Krecik,2,6,8,9,13,14,True
5,Krecik,5,1,Rocket,5,0,,,,,,,Rocket,Rocket,2,6,12,10,8,19,True
5,Rocket,8,1,Krecik,10,1,,,,,,,Krecik,Rocket,2,6,16,11,0,26,True
5,Krecik,1,2,Rocket,1,0,,,,,,,Rocket,Rocket,2,12,5,12,16,10,True
5,Rocket,1,1,Krecik,1,0,,,,,,,Krecik,Krecik,2,3,5,13,16,11,True
5,Rocket,1,2,Krecik,1,0,,,,,,,Krecik,Krecik,2,17,5,14,16,10,True
5,Krecik,5,0,Rocket,4,1,,,,,,,Rocket,Krecik,2,2,11,15,9,18,True
5,Rocket,6,2,Krecik,6,0,,,,,,,Krecik,Krecik,2,14,13,16,6,20,True
6,Diogenes,1,0,Rocket,3,3,,,,,,,Rocket,Diogenes,2,21,7,0,14,11,True
6,Diogenes,1,0,Rocket,2,1,,,,,,,Rocket,Diogenes,2,2,7,1,15,12,True
6,Diogenes,3,4,Rocket,1,0,,,,,,,Rocket,Rocket,2,11,5,2,14,10,True
6,Rocket,2,1,Diogenes,2,0,,,,,,,Diogenes,Diogenes,2,6,7,3,14,13,True
6,Diogenes,0,0,Rocket,1,1,,,,,,,Rocket,Diogenes,2,3,5,4,17,10,True
6,Diogenes,2,0,Rocket,2,2,,,,,,,Rocket,Diogenes,2,8,7,5,14,12,True
6,Diogenes,2,1,Rocket,2,0,,,,,,,Rocket,Rocket,2,2,6,6,14,13,True
6,Rocket,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,5,4,7,18,9,True
6,Rocket,2,2,Diogenes,1,0,,,,,,,Diogenes,Diogenes,2,12,6,8,15,11,True
6,Diogenes,0,0,Rocket,2,3,,,,,,,Rocket,Diogenes,2,19,5,9,16,9,True
6,Diogenes,2,4,Rocket,0,0,,,,,,,Rocket,Rocket,2,17,4,10,16,8,True
6,Rocket,8,1,Diogenes,10,1,,,,,,,Diogenes,Rocket,2,6,18,11,0,26,True
6,Diogenes,3,3,Rocket,2,0,,,,,,,Rocket,Rocket,2,26,7,12,13,12,True
6,Rocket,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,3,4,13,18,9,True
6,Rocket,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,3,4,14,18,9,True
6,Diogenes,1,2,Rocket,0,0,,,,,,,Rocket,Rocket,2,4,4,15,17,9,True
6,Rocket,1,0,Diogenes,3,3,,,,,,,Diogenes,Rocket,2,8,7,16,14,11,True
6,Diogenes,2,2,Rocket,3,0,,,,,,,Rocket,Rocket,2,3,7,17,13,13,True
6,Diogenes,1,3,Rocket,0,0,,,,,,,Rocket,Rocket,2,16,4,18,17,8,True
6,Diogenes,0,0,Rocket,1,1,,,,,,,Rocket,Diogenes,2,3,5,19,17,10,True
6,Diogenes,2,4,Rocket,0,0,,,,,,,Rocket,Rocket,2,19,4,20,16,8,True
7,Protokół Zgredek,1,0,Rocket,4,3,,,,,,,Rocket,Protokół Zgredek,2,21,7,0,13,12,True
7,Protokół Zgredek,1,0,Rocket,2,1,,,,,,,Rocket,Protokół Zgredek,2,2,7,1,15,12,True
7,Protokół Zgredek,2,4,Rocket,0,0,,,,,,,Rocket,Rocket,2,15,4,2,16,8,True
7,Rocket,2,1,Protokół Zgredek,2,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,6,7,3,14,13,True
7,Protokół Zgredek,0,0,Rocket,1,1,,,,,,,Rocket,Protokół Zgredek,2,3,5,4,17,10,True
7,Protokół Zgredek,2,0,Rocket,2,2,,,,,,,Rocket,Protokół Zgredek,2,8,7,5,14,12,True
7,Protokół Zgredek,2,1,Rocket,2,0,,,,,,,Rocket,Rocket,2,2,6,6,14,13,True
7,Rocket,0,1,Protokół Zgredek,0,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,5,4,7,18,9,True
7,Rocket,2,2,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,12,6,8,15,11,True
7,Protokół Zgredek,2,0,Rocket,3,1,,,,,,,Rocket,Protokół Zgredek,2,6,8,9,13,14,True
7,Protokół Zgredek,5,1,Rocket,4,0,,,,,,,Rocket,Protokół Zgredek,2,0,10,10,9,18,True
7,Rocket,8,1,Protokół Zgredek,10,1,,,,,,,Protokół Zgredek,Rocket,2,6,16,11,0,26,True
7,Protokół Zgredek,3,3,Rocket,2,0,,,,,,,Rocket,Rocket,2,26,7,12,13,12,True
7,Rocket,1,1,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,4,5,13,16,11,True
7,Rocket,0,1,Protokół Zgredek,0,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,3,4,14,18,9,True
7,Protokół Zgredek,5,0,Rocket,4,1,,,,,,,Rocket,Protokół Zgredek,2,2,11,15,9,18,True
7,Rocket,6,2,Protokół Zgredek,6,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,14,13,16,6,20,True
7,Protokół Zgredek,2,2,Rocket,3,0,,,,,,,Rocket,Rocket,2,4,7,17,13,13,True
7,Protokół Zgredek,1,2,Rocket,1,0,,,,,,,Rocket,Rocket,2,9,5,18,16,10,True
7,Protokół Zgredek,0,1,Rocket,0,0,,,,,,,Rocket,Rocket,2,7,4,19,18,9,True
7,Protokół Zgredek,4,3,Rocket,2,0,,,,,,,Rocket,Rocket,2,8,8,20,12,13,True
7,Rocket,1,1,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,7,5,21,16,11,True
7,Rocket,5,3,Protokół Zgredek,4,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,8,10,22,9,16,True
8,Diogenes,1,0,Krecik,3,3,,,,,,,Krecik,Diogenes,2,21,7,0,14,11,True
8,Diogenes,6,0,Krecik,5,2,,,,,,,Krecik,Diogenes,2,10,13,1,7,19,True
8,Diogenes,2,4,Krecik,0,0,,,,,,,Krecik,Krecik,2,10,4,2,16,8,True
8,Krecik,3,3,Diogenes,2,0,,,,,,,Diogenes,Diogenes,2,22,7,3,13,12,True
8,Diogenes,0,1,Krecik,0,0,,,,,,,Krecik,Krecik,2,2,4,4,18,9,True
8,Diogenes,0,0,Krecik,1,2,,,,,,,Krecik,Diogenes,2,14,5,5,17,9,True
8,Diogenes,2,1,Krecik,2,0,,,,,,,Krecik,Krecik,2,2,6,6,14,13,True
8,Krecik,7,0,Diogenes,8,2,,,,,,,Diogenes,Krecik,2,13,16,7,3,23,True
8,Krecik,7,1,Diogenes,7,0,,,,,,,Diogenes,Diogenes,2,6,15,8,4,23,True
8,Diogenes,0,0,Krecik,2,3,,,,,,,Krecik,Diogenes,2,20,5,9,16,9,True
8,Diogenes,4,0,Krecik,5,1,,,,,,,Krecik,Diogenes,2,6,11,10,9,18,True
8,Krecik,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,11,4,11,18,9,True
9,Protokół Zgredek,1,0,Krecik,4,3,,,,,,,Krecik,Protokół Zgredek,2,21,7,0,13,12,True
9,Protokół Zgredek,8,0,Krecik,7,2,,,,,,,Krecik,Protokół Zgredek,2,8,16,1,3,23,True
9,Protokół Zgredek,2,5,Krecik,0,0,,,,,,,Krecik,Krecik,2,20,4,2,16,7,True
9,Krecik,3,3,Protokół Zgredek,2,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,22,7,3,13,12,True
9,Protokół Zgredek,0,1,Krecik,0,0,,,,,,,Krecik,Krecik,2,2,4,4,18,9,True
9,Protokół Zgredek,0,0,Krecik,1,2,,,,,,,Krecik,Protokół Zgredek,2,14,5,5,17,9,True
9,Protokół Zgredek,2,1,Krecik,2,0,,,,,,,Krecik,Krecik,2,2,6,6,14,13,True
9,Krecik,7,0,Protokół Zgredek,8,2,,,,,,,Protokół Zgredek,Krecik,2,13,16,7,3,23,True
9,Krecik,6,2,Protokół Zgredek,5,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,14,12,8,7,19,True
9,Protokół Zgredek,2,0,Krecik,3,1,,,,,,,Krecik,Protokół Zgredek,2,7,8,9,13,14,True
9,Protokół Zgredek,4,0,Krecik,4,1,,,,,,,Krecik,Protokół Zgredek,2,6,10,10,10,17,True
9,Krecik,8,1,Protokół Zgredek,10,1,,,,,,,Protokół Zgredek,Krecik,2,6,16,11,0,26,True
9,Protokół Zgredek,1,2,Krecik,0,0,,,,,,,Krecik,Krecik,2,13,4,12,17,9,True
9,Krecik,0,1,Protokół Zgredek,0,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,4,4,13,18,9,True
9,Krecik,1,2,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,17,5,14,16,10,True
10,Protokół Zgredek,1,0,Diogenes,4,3,,,,,,,Diogenes,Protokół Zgredek,2,21,7,0,13,12,True
10,Protokół Zgredek,1,0,Diogenes,2,1,,,,,,,Diogenes,Protokół Zgredek,2,2,7,1,15,12,True
10,Protokół Zgredek,2,4,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,15,4,2,16,8,True
10,Diogenes,4,1,Protokół Zgredek,3,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,4,9,3,11,16,True
10,Protokół Zgredek,0,0,Diogenes,1,1,,,,,,,Diogenes,Protokół Zgredek,2,3,5,4,17,10,True
10,Protokół Zgredek,2,0,Diogenes,2,2,,,,,,,Diogenes,Protokół Zgredek,2,8,7,5,14,12,True
10,Protokół Zgredek,2,1,Diogenes,2,0,,,,,,,Diogenes,Diogenes,2,2,6,6,14,13,True
10,Diogenes,1,0,Protokół Zgredek,2,1,,,,,,,Protokół Zgredek,Diogenes,2,2,7,7,15,12,True
10,Diogenes,5,0,Protokół Zgredek,8,1,,,,,,,Protokół Zgredek,Diogenes,2,10,14,8,5,22,True
10,Protokół Zgredek,2,0,Diogenes,3,1,,,,,,,Diogenes,Protokół Zgredek,2,6,8,9,13,14,True
10,Protokół Zgredek,5,1,Diogenes,4,0,,,,,,,Diogenes,Protokół Zgredek,2,0,10,10,9,18,True
10,Diogenes,8,1,Protokół Zgredek,10,1,,,,,,,Protokół Zgredek,Diogenes,2,6,16,11,0,26,True
10,Protokół Zgredek,3,3,Diogenes,2,0,,,,,,,Diogenes,Diogenes,2,26,7,12,13,12,True
10,Diogenes,1,1,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,4,5,13,16,11,True
10,Diogenes,0,1,Protokół Zgredek,0,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,3,4,14,18,9,True
10,Protokół Zgredek,5,0,Diogenes,4,1,,,,,,,Diogenes,Protokół Zgredek,2,2,11,15,9,18,True
10,Diogenes,6,2,Protokół Zgredek,6,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,14,13,16,6,20,True
10,Protokół Zgredek,2,2,Diogenes,3,0,,,,,,,Diogenes,Diogenes,2,4,7,17,13,13,True
10,Protokół Zgredek,1,2,Diogenes,1,0,,,,,,,Diogenes,Diogenes,2,16,5,18,16,10,True
10,Protokół Zgredek,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,7,4,19,18,9,True
10,Protokół Zgredek,3,1,Diogenes,4,0,,,,,,,Diogenes,Diogenes,2,4,9,20,11,16,True
10,Diogenes,1,1,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,7,5,21,16,11,True
10,Diogenes,5,4,Protokół Zgredek,3,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,16,9,22,10,14,True
10,Diogenes,2,1,Protokół Zgredek,1,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,8,6,23,15,12,True
10,Protokół Zgredek,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,5,4,24,18,9,True
10,Diogenes,0,1,Protokół Zgredek,0,0,,,,,,,Protokół Zgredek,Protokół Zgredek,2,4,4,25,18,9,True
